,name,address,stalls,lat,lon
10,Blk 90 Whampoa Makan Place,"90 WHAMPOA DR, S320090","['AH GONG TEOCHEW NOODLE', ""V'FRESHWHAMPOA""]",1.32306493801159,103.854996183556
11,BUKIT MERAH CENTRAL FOOD CENTRE,"163 BUKIT MERAH CENTRAL, S150163","['33 COFFEE', 'AH YUAN FENG WEI', 'BAO YUEH', 'CAFE CLUB', 'CHUN KEE FISHBALL NOODLE', 'CURRY HOUSE', 'DAPUR USTAZ', 'DAY NIGHT', 'FRIED FISH SOUP', 'GOLD FISH SOUP', 'GUAN HUAT', 'HENG CHAI CHICKEN RICE', 'HOCK LEE FRESH FRUITS', 'HOKKIEN BAK KUT TEH', 'HOMEMADE DESSERT', 'HOT AND COLD DRINKS', 'HUP HENG ECONOMIC MIX', 'HUP KEE DELICIOUS FOOD', 'JOO HENG COOKED FOOD', 'KING AVOCADO', 'KOON HENG FISH PORRIDGE', 'KUNG FU NOODLES', 'LAI HIN FISH BALL MEE', 'LAN XIANG BAN MIAN', 'LEE SIN HOON COFFEE STALL', 'LIAN HENG DESSERT', 'LIANG SENG NOODLE', 'LIM SOON LEE', 'LING HENG ROAST MEAT', 'MEATBALLS CORNER', 'MEIJI FISHBALL', 'MIANJIANGUO', 'NAN HENG CHICKEN RICE', 'NSJ MUSLIM FOOD', 'PEOPLES PARK BUKIT MERAH', 'SEA LAI HONG SUGARCANE', 'SENG KEE', 'SHUANG MAN COFFEE', 'SHUN XING', 'SOON HUAT LOR MEE', 'SOON LI HUAT', 'SOUP MASTER', 'STAR COFFEE', 'SULTANAH BRIYANI', 'TEO CHEW FOOD STALL', 'YONG SHENG COFFEE SHOP', 'YUM YUM YUMMY VEGETARIAN', 'ZHONG PIN NOODLE HOUSE']",1.28370343137554,103.817051522816
12,CIRCUIT ROAD MARKET & FOOD CENTRE,"80 CIRCUIT RD, S370080","['#01-10', 'CHANG CHANG LAI', 'F&G FLOWER SHOP', 'FATTY SENG', 'GOOD MEAT CO', 'HOCK KEE DRINKS', 'HUP HUP', 'JOYCE NOODLE HOUSE', 'LEE FRESH CHICKEN', 'LENG HENG DRINK', 'LIN MING JI NIANG DOU FU', 'MISTER REMPEYEK', 'NO.10 NOODLE HOUSE', 'TAISEER', 'TIAN XIANG', 'TUCK BEE COOKED FOOD', 'VEGETABLES', 'XIANG YAN ZHAI SU SHI', 'YJ MART', 'YUAN']",1.32783414615937,103.887102669236
13,Empress Road Market & Food Centre,"7 EMPRESS RD, S260007","['YURI YTF', '#01-32 FRESH PORK SUPPLY', '#01-33', '#01-34', '01-53', '01-55', '01-61', '01-64', '01-79', 'AH CHYE VEGE', 'AH MAY', ""AH WING'S WANTON MEE"", 'AH YONG', 'AH YONG #01-10', 'AHMEI TAILOR', 'BAI JIA KITCHEN', 'BUNGA RAYA MUSLIM FOOD', 'BUNGA RAYA PRATA HUT', ""CHICKS N' CHOPS"", 'CHOP TECK SENG', 'EMPRESS GROCER', 'EVELYN SEAFOOD 11', 'EVELYN SEAFOOD 21', 'H HENG NASI LEMAK', 'HAPPY WORLD ROAST', 'HENG HENG NOODLE', 'HUP HENG', 'HUP LEE', 'JAMES LIM CHICKEN', 'KELVIN TEO', 'KUEHS AND SNACKS', 'LAI HUAT', 'LINDA', 'LOH FROZEN MEAT', 'MEI XIANG CHA SHI', 'MOIDEEN CAFE', 'MR FUN EAST & WEST', 'PASTRY FOR LIFE', 'PONDOK MARINA', 'PT KOPI', 'QUAN JI BEE HOON', 'RICKY HERBAL FISH SOUP', 'SEAH FAMILY PORK 01-18', 'SEET CHOO ON', 'SENG KEE PORRIDGE', 'SEVEN STAR DIM SUM', 'SHERRY ALTERATION', 'SOH FOOD', 'STAR CAFÉ', 'SUNSHINE HOUSE', 'SUZANNE', 'TAN YONG SENG', 'THE SPICE MAN', 'VINCENT FRUIT STALL', 'VINCENT FRUIT STALL 2', 'WANG JIAO A1 FOOD STALL', 'XIAN WEI', 'YONG CHAI CHICKEN RICE', 'YONG FU LA MIAN', 'YU KEE', 'ZHOU JIA']",1.31624052960518,103.805636700397
14,GEYLANG SERAI MARKET & FOOD CENTRE,"1 GEYLANG SERAI, S402001","['01-50', '136 FRUITS', '137 FRUITS', '94 FASHION (WM)', 'A H FOOD CORNER', 'A SA STORE', ""ADEENA'S TREND"", 'AIR BUAH', 'ALIPITCHAY (WM)', 'ALRAHMAN KITCHEN', 'ANN TONG SANG TRADING', 'ANWAR MINI MARKET', 'AZHAR DRIED FOOD', 'BABY CLOTHES (WM)', 'BABY FASHION (WM)', 'BB SPICES', 'BIRYANI EXPRESS', 'C AND M CREATIONS (WM)', 'CAFÉ CORNER', 'CHENG KOI HEE (WM)', 'CHENG TNG', 'CLOTHES STORE (WM)', 'CLOTHING SHOP (WM)', 'DAM BRYANI', 'ENDON SALIM CLOTHING (WM)', 'ERNA ENTERPRISE', 'FAIQAH FASHION (WM)', 'FASHION CLOTHES (WM)', 'FHOUL MADINAH ISTIMEWA', 'FRZ COLLECTIONS', 'GERAI NENEK OBEK', 'GEYLANG APAM PULAU PINANG', 'GEYLANG BRIYANI STALL', 'GEYLANG CORNER FOOD STALL', 'GEYLANG SERAI #02-85', 'GEYLANG SERAI GROCERY (WM)', 'GEYLANG SERAI HOT & COLD', 'GEYLANG SERAI NASI AYAM', 'GEYLANG SERAI OLI', 'GJK FRESH SEAFOOD SUPPLY', 'GORENG PISANG&KUEH', 'GS #01-163', 'GSM TEXTILE (WM)', 'HAJI ABDULLAH & SONS', 'HAJI SIAHRIAL (WM)', 'HARON GROCERIES', 'HAS (WM)', 'HASHIM ABBAS', 'HASHIM TEXTILES (WM)', 'HJH.RAHAMATH', 'INTERNATIONAL', 'IQBAL SOUP KAMBING#02-128', 'K ABDUL RAZAK COFFEE STAL', 'KACANG POOL MUSTAFA', 'KAFE TROPIKA', 'LAM P.K. POULTRY SUPPLY', 'LEE BAN KOK (WM)', 'MAKLONG', 'MANGGIS CREATIONS', 'MARY WONG (WM)', 'MAYA PESONA CHICKEN RICE', 'MOHAMMAD ALI MEAT SUPPLY', 'MUBEEN RAFFI (WM)', 'NASI AYAM SAMBAL CHICKEN', 'NAWAL HASANAH (WM)', 'O & R', 'PAK ABU & SONS BEEF STALL', 'PAK DIN NASI AYAM BAKAR', 'PUSTAKA MUAZ', 'RAHMAH (WM)', 'ROOTS (WM)', 'SAJIAN MAK DARA (WM)', 'SAJIAN TRADISI', 'SANG NILA', 'SANIA RAFFI (WM)', 'SATAY SEJATI', 'SHADIAH BINTE ABU (WM)', 'SHALIZA KITCHEN', 'SITI FLOWER POWER', 'SITI NOOR (WM)', 'SUNDRY GOODS (WM)', 'TAKDENAMA', 'TIEN SANG HENG FISHERY', 'TUDONG (WM)', 'UMAIRAH BLISS', 'UMMI FARRAH ZACK SYABAS PTE LTD (WM)', 'VEGETABLE', 'WARONG KELUARGA', 'WARONG SOLO', 'WARONG WAK ARSHAD', 'WARUNG YES BOSS', 'WONG LAI HONG (WM)', 'YALI FASHION', 'ZNN TIJAROH (WM)', 'ZUBAIDAH (WM)']",1.31672515005311,103.897977411392
15,HAVELOCK ROAD FOOD CENTRE,"22A HAVELOCK RD, S161022","['DU DU COOKED FOOD', 'GUANG FA LAKSA', 'HAVELOCK TURTLE SOUP', ""IVAN'S PORRIDGE"", 'KHIN KEE FISHBALL NOODLE', 'MENG KEE FRIED KWAY TEOW', 'SHENG HUA HOT & COLD', 'SIAM SQUARE MOOKATA', 'WESTERN HUT', 'YU MEI MEI SHI', 'ZHENG NASI LEMAK']",1.28797051657173,103.829623413554
16,HOLLAND VILLAGE FOOD CENTRE,"1 LORONG MAMBONG, S277700","['88 HV FRESH FRUIT JUICE', 'A&L FRESH FRUIT', 'AH XIN PROVISION', 'CHENG SHENG WESTERN FOOD', 'CLAYPOT & STEWED SOUP', 'CUSTOM SNACK', 'DE SHENG HANDMADE NOODLES', 'DENNIS FRESH SUPPLIES', 'EGG STALL', 'EZY MOBILE (LU)', 'FISHBALL NOODLE', 'FRESH CHICKEN', 'FRIENDS', 'GUAN SENG COFFEE POWDER', 'HAINANESE CHICKEN RICE', 'HOLLAND V COFFEE', 'HOLLAND V FLORIST', 'HOLLAND VILLAGE - 27', 'HONG LI MEI WEI XIAO CHI', 'HOUSE OF HUNG YUNG', 'HUA SOON WESTERN FOOD', 'HV FRESH FRUIT', 'HV HOMEMADE SOYABEAN', 'HVKT LAKSA NASILEMAK', 'JEAN SATIN', 'KITCHEN AFFAIRZ', 'KITCHEN AFFAIRZ (LU)', 'KOREAN CUISINE', 'LEE JI XIAO CHI', 'LIANG JI', 'MALA XIANG GUO', 'MINGFA FISHBALL', 'MINIWOK', 'NG KIM LUANG', 'PHILLIP ANTIQUE', 'PHILLIP ANTIQUE 0106', 'RESTORAN AH FONG', 'RESTORANT AH FONG', 'SHAN QUAN CAFÉ', 'STEVE AUTOKEY HV', 'YU XIAN TANG 01', 'YU XIAN TANG 02']",1.31107297402127,103.794876419662
17,JALAN KUKOH FOOD CENTRE,"1 JALAN KUKOH, S161001","['ADELINE CAFÉ', 'BEDOK 69 WANTON NOODLE', 'COFFEE AROMA', 'COFFEE HOUSE', 'CSB SEAFOOD SPECIAL', 'HENG HENG MIXED VEG RICE', 'HONG KEE ECONOMIC', 'I CHICKS', 'JADE LIGHT NOODLE HOUSE', 'JALAN KUKOH PORRIDGE', 'JALAN KUKOH TEOCHEW KUEH', 'KE JIA NIANG DOU FU', 'MARIA QI HENG COFFEE', 'TEOCHEW FISH SOUP', ""TEOCHEW PIG'S ORGAN SOUP"", 'TRADITIONAL HAINANESE', 'WARUNG HAN NASI PADANG', 'YONG HEN LI JI']",1.2882310152805,103.839934168065
18,MACPHERSON MARKET & FOOD CENTRE,"89 CIRCUIT RD, S370089","['129 SHENG MIAN', 'AH KUN PRAWN NOODLE', 'AH PING PROVISION', 'AL & AMY CUISINE', 'BOON KENG FOOD STALL', 'CCK FAMOUS WANTON MEE', 'CHUNG FROZEN FOOD (WM)', 'CURTAIN TAILOR', 'ECONOMICAL BREAKFAST', 'FISH AND SEAFOOD', 'FISHBALL', 'FRESH BREAD SHOP', 'FRESH INDO PORK', 'FRESH YONG TAU FU', 'FRUITS', 'GDA HALAL MEAT STORE', 'GENESIS BAN MIAN', 'GOOD MORNING EATING HOUSE', 'GUAN KEE SOYA BEAN', ""GUAN'S CAFE"", 'HAINANESE CHICKEN RICE', 'HAO JI CANTONESE PORRIDGE', 'HJK COFFEE POWDER', 'JIA LE PRAWN MEE', 'KWAY TEOW MEE STALL', 'LIM BUTCHER', 'LIM BUTCHER (WM)', 'MAKAN KECHIL CORNER', 'MAKANAN SINGAPURA', 'MAY MAY COSMETIC', 'MR ANG VEGE', 'PONG TIAN VEGETARIAN', 'SEAFOOD', 'THE GLORIA FLORIST(WM)', 'TIAN SENG KWAY TEOW', 'TIAN SENG KWAY TEOW MEE', 'U FRIED CARROT CAKE', 'ULOOK FASHION (WM)', 'VEGETABLE', 'VEGETABLES', 'YAO HENG TRADING (WM)', 'YAO JI PANCAKE', 'YI XIANG SHAO LA', 'YONG TAU FU']",1.32357971400582,103.885438842474
19,MARKET STREET INTERIM HAWKER CENTRE,"5 CROSS ST, S048418","['AH LIANG IPOH HOR FUN', 'AL-BISMI CAFÉ', 'BEE KEE WANTON 15', 'GOLDEN NUR CHICKEN RICE', 'GOLDEN NUR NASI BRIYANI', 'GREEN BITES SALAD', 'HAJA DRINKS', 'JIA NONG COFFEE STALL', 'JIN CHEN TRADITIONAL', 'JOHNSON WESTERN', 'KEJORA', 'LE FRUIT JUICE', 'MARKET ST KWAY TEOW', 'MARKET ST NASI LEMAK', 'MING FA FISHBALL', 'PENG TIONG BAHRU WANTON', 'Q HOR FUN', 'RUI JI FISH PORRIDGE', 'SAY SENG MEE POK', 'SELERA BONDA', 'SETIA JAYA', 'SHU VEGETARIAN', 'SLICED FISH SOUP', 'STICK EM ON', 'TIAN CI PRAWN NOODLE', 'TONG FONG FATT HAINANESE', 'WARONG ISTIMEWA', 'XIAO YU CHUN', 'YI EN VEGETARIAN', 'YUGUO CURRY RICE', 'YUMMY PERANAKAN']",1.28159602980757,103.848878196508
